#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-09-11T18:58:42 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ5b9803da1060
#INFO	-out.max=unlimited
#INFO	queryParameters=22
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:B/cb&tab:{B/cb/cbdata}&key:source=B/cb/cbdata&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=B/cb/cbdata
#-order=I
#-out=Name
#-out=AltName
#-out=RAJ2000
#-out=DEJ2000
#-out=Type1
#-out=Type2
#-out=mag1
#-out=Orb.Per
#-out=SpType2
#-out=SpType1
#-out=Refs
#Refs=Refs
#Simbad=Simbad
#

#RESOURCE=yCat_102018
#Name: B/cb
#Title: Cataclysmic Binaries, LMXBs, and related objects (Ritter+, 2004)
#Table	B_cb_cbdata:
#Name: B/cb/cbdata
#Title: Catalogue of Cataclysmic Binaries
#Column	Name	(a12)	Object name (G1)	[ucd=meta.id,meta.main]
#Column	AltName	(a12)	A frequently used alternative name	[ucd=meta.id]
#Column	RAJ2000	(A10)	Right Ascension J2000	[ucd=pos.eq.ra,meta.main]
#Column	DEJ2000	(A9)	Declination J2000	[ucd=pos.eq.dec,meta.main]
#Column	Type1	(A2)	Object type (3)	[ucd=src.class]
#Column	Type2	(A2)	Object type (3)	[ucd=src.class]
#Column	mag1	(F4.1)	? Apparent V (or B, b, F, g, I, J, j, K, p, R, r, v, w = "white light") magnitude at maximum brightness (4)	[ucd=phot.mag,em.opt.V]
#Column	Orb.Per	(F9.6)	? Orbital period (in days)	[ucd=time.period]
#Column	SpType2	(A7)	Spectral type of the secondary (G6)	[ucd=src.spType]
#Column	SpType1	(a7)	Spectral type of the primary (G6)	[ucd=src.spType]
#Column	Refs	(A4)	VizieR added column, not part of original data	[ucd=meta.ref.url]
# , ,"h:m:s","d:m:s", , ,mag,d, , ,
Name,AltName,RAJ2000,DEJ2000,Type1,Type2,mag1,Orb_Per,SpType2,SpType1,Refs
V1017 Sgr   ,N Sgr 1919  ,18 32 04.5,-29 23 12,Nb,DN,13.7, 5.714000,G5/3p  ,       ,Refs
MR Vel      ,0925-4758   ,09 25 45.9,-47 58 18,SS,  ,17.0, 4.028782,       ,       ,Refs
V630 Cas    ,N Cas 1950  ,23 48 51.9,+51 27 39,DN,  ,16.2, 2.563870,K4-5   ,       ,Refs
EQ CMa      ,            ,06 48 51.6,-16 18 03,CV,  ,11.9, 2.291500,       ,       ,Refs
GK Per      ,N Per 1901  ,03 31 12.0,+43 54 16,Na,DN,12.8, 1.996803,K1/4   ,       ,Refs
HV Cet      ,N Cet 2008  ,03 05 58.5,+05 47 14,N ,  ,18.5, 1.772000,       ,       ,Refs
J2044-0459  ,            ,20 44 48.9,-04 59 29,DN,UG,16.7, 1.680000,K4-5   ,       ,Refs
V5589 Sgr   ,N Sgr 2012  ,17 45 28.0,-23 05 23,Na,  ,17.0, 1.592300,       ,       ,Refs
V394 CrA    ,N CrA 1987  ,18 00 26.0,-39 00 35,Nr,  ,17.8, 1.515682,       ,       ,Refs
X Ser       ,N Ser 1903  ,16 19 17.7,-02 29 30,Nb,  ,17.6, 1.480000,       ,       ,Refs
V2674 Oph   ,N Oph 2010#2,17 26 32.1,-28 49 39,Na,  ,21.5, 1.302100,       ,       ,Refs
J1805-3154  ,            ,18 05 25.4,-31 54 05,Na,  ,18.8, 1.266400,       ,       ,Refs
J0509-7139  ,            ,05 09 58.4,-71 39 53,Nr,EG,19.0, 1.264300,       ,       ,Refs
U Sco       ,N Sco 1987  ,16 22 30.8,-17 52 44,Nr,  ,18.5, 1.230547,K2/4   ,       ,Refs
N LMC 2009a ,            ,05 40 44.2,-66 40 12,Nr,  ,    , 1.190000,       ,       ,Refs
AKO 9       ,            ,00 24 04.8,-72 04 55,DN,  ,17.3, 1.109099,       ,       ,Refs
CAL 83      ,LHG 83      ,05 43 34.2,-68 22 22,SS,  ,16.2, 1.047529,       ,       ,Refs
CP Cru      ,N Cru 1996  ,12 10 31.4,-61 45 10,Na,  ,19.5, 0.944000,       ,       ,Refs
V1129 Cen   ,NSV 19448   ,12 39 07.9,-45 33 44,DN,  , 9.5, 0.893025,F2/5   ,       ,Refs
V1082 Sgr   ,            ,19 07 21.9,-20 46 50,NL,VY,14.0, 0.867520,K4/5   ,       ,Refs
J0032-7420  ,N SMC 2012  ,00 32 55.1,-74 20 20,N ,EG,21.3, 0.850000,       ,       ,Refs
J2124+0502  ,            ,21 24 12.4,+05 02 44,NL,  ,12.3, 0.849100,       ,       ,Refs
J1714+5851  ,            ,17 14 56.8,+58 51 28,DN,  ,15.0, 0.838030,K4     ,       ,Refs
V726 Sgr    ,N Sgr 1936#2,18 19 33.7,-26 53 20,Na,  ,19.4, 0.822812,       ,       ,Refs
J0454-7026  ,N LMC 2012#1,04 54 56.9,-70 26 56,Na,  ,18.4, 0.801460,       ,       ,Refs
V731 Cas    ,V9(NGC 7789),23 57 00.3,+56 45 08,NL,  ,19.1, 0.780600,       ,       ,Refs
J0513-6951  ,            ,05 13 50.8,-69 51 48,SS,  ,16.0, 0.762956,       ,       ,Refs
J1414-6516  ,            ,14 14 30.1,-65 16 23,NL,IP,22.5, 0.743000,       ,       ,Refs
V364 Lib    ,            ,15 09 46.6,-21 47 46,DN,  ,11.5, 0.702420,       ,       ,Refs
